query	evalue	COG_category	Description	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	PFAMs
CAJ69772.1	2.89E-67	G	"PTS system, Lactose/Cellobiose specific IIB subunit"	ko:K02760	"ko00500,ko02060,map00500,map02060"	M00275	"R11170,R11172"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.3.2	PTS_IIB
CAJ69773.1	7.72E-165	K	UTRA	ko:K03710	-	-	-	-	"ko00000,ko03000"	-	"GntR,UTRA"
CAJ69774.1	0.00E+00	V	MATE efflux family protein	-	-	-	-	-	-	-	MatE
CAJ69775.1	2.91E-258	T	Diguanylate cyclase (GGDEF) domain	-	-	-	-	-	-	-	GGDEF
CAJ69776.1	0	P	ABC-type Fe3 transport system permease component	ko:K02011	"ko02010,map02010"	M00190	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.10	"BPD_transp_1,SBP_bac_6"
CAJ69777.3	0	P	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system	ko:K02010	"ko02010,map02010"	M00190	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	3.A.1.10	"ABC_tran,TOBE_2"
CAJ69778.1	1.72E-23	-	-	-	-	-	-	-	-	-	-
CAJ69779.1	3.83E-165	-	-	-	-	-	-	-	-	-	-
CAJ69780.1	8.99E-99	U	Preprotein translocase subunit SecB	ko:K03071	"ko02024,ko03060,ko03070,map02024,map03060,map03070"	M00335	-	-	"ko00000,ko00001,ko00002,ko02044,ko03110"	3.A.5	SecB
CAJ69783.1	5.72E-199	M	N-acetylmuramoyl-L-alanine amidase	ko:K01448	"ko01503,map01503"	M00727	R04112	"RC00064,RC00141"	"ko00000,ko00001,ko00002,ko01000,ko01011,ko03036"	-	"Amidase_3,CW_binding_1,Glucosaminidase,SH3_3"
CAJ69784.1	6.70E-56	S	"Phage holin family Hol44, in holin superfamily V"	-	-	-	-	-	-	-	Phage_holin_5_2
CAJ69785.1	1.26E-42	S	Haemolysin XhlA	-	-	-	-	-	-	-	XhlA
CAJ69786.1	2.45E-63	-	-	-	-	-	-	-	-	-	-
CAJ69787.1	4.29E-299	S	Glycine rich protein	-	-	-	-	-	-	-	-
CAJ69788.1	3.09E-176	UW	Phage tail-collar fibre protein	-	-	-	-	-	-	-	"DUF3751,Peptidase_S74"
CAJ69789.1	5.98E-150	S	Uncharacterised protein conserved in bacteria (DUF2313)	-	-	-	-	-	-	-	DUF2313
CAJ69790.1	1.80E-248	S	Baseplate J-like protein	-	-	-	-	-	-	-	Baseplate_J
CAJ69791.1	4.50E-97	S	Protein of unknown function (DUF2634)	-	-	-	-	-	-	-	DUF2634
CAJ69792.1	1.30E-53	S	Protein of unknown function (DUF2577)	-	-	-	-	-	-	-	DUF2577
CAJ69793.1	0	GM	NlpC/P60 family	-	-	-	-	-	-	-	"Glucosaminidase,NLPC_P60,Peptidase_M23"
CAJ69794.1	2.50E-163	S	LysM domain	-	-	-	-	-	-	-	LysM
CAJ69795.1	0	S	tape measure	-	-	-	-	-	-	-	PhageMin_Tail
CAJ69796.1	8.88E-126	-	-	-	-	-	-	-	-	-	zinc_ribbon_2
CAJ69797.1	4.39E-120	-	-	-	-	-	-	-	-	-	-
CAJ69799.1	1.60E-98	S	"Phage XkdN-like tail assembly chaperone protein, TAC"	-	-	-	-	-	-	-	Phage_TAC_5
CAJ69800.1	4.15E-108	S	Phage tail tube protein	-	-	-	-	-	-	-	DUF2001
CAJ69801.1	2.92e-314	S	Phage tail sheath protein beta-sandwich domain	-	-	-	-	-	-	-	"Phage_sheath_1,Phage_sheath_1C,Phage_sheath_1N"
CAJ69802.2	8.04E-29	-	-	-	-	-	-	-	-	-	-
CAJ69803.1	1.27E-104	-	-	-	-	-	-	-	-	-	-
CAJ69804.1	7.73E-99	S	"Bacteriophage HK97-gp10, putative tail-component"	-	-	-	-	-	-	-	HK97-gp10_like
CAJ69805.1	4.90E-76	-	-	-	-	-	-	-	-	-	-
CAJ69806.2	1.99E-91	-	-	-	-	-	-	-	-	-	-
CAJ69807.1	4.70E-43	-	-	-	-	-	-	-	-	-	-
CAJ69808.1	7.32E-216	-	-	-	-	-	-	-	-	-	-
CAJ69809.1	1.60E-127	S	viral scaffold	-	-	-	-	-	-	-	-
CAJ69811.1	0	S	Phage Mu protein F like protein	-	-	-	-	-	-	-	"ADPrib_exo_Tox,Phage_Mu_F"
CAJ69812.1	0	S	"Phage portal protein, SPP1 Gp6-like"	-	-	-	-	-	-	-	Phage_prot_Gp6
CAJ69813.2	5.37e-312	L	"Phage terminase, large subunit, PBSX family"	ko:K06909	-	-	-	-	ko00000	-	"Terminase_3,Terminase_3C"
CAJ69814.1	7.12E-159	L	DNA packaging	-	-	-	-	-	-	-	"HTH_23,HTH_28,Terminase_5"
CAJ69815.1	2.63E-48	-	-	-	-	-	-	-	-	-	-
CAJ69816.1	2.97E-70	-	-	-	-	-	-	-	-	-	-
CAJ69817.1	3.73E-143	K	acetyltransferase	-	-	-	-	-	-	-	-
CAJ69818.2	1.67E-272	K	IrrE N-terminal-like domain	-	-	-	-	-	-	-	"HTH_19,HTH_3,Peptidase_M78"
CAJ69819.1	1.05E-175	-	-	-	-	-	-	-	-	-	-
CAJ69820.1	2.88E-111	K	sigma factor activity	-	-	-	-	-	-	-	"DUF722,Sigma70_r4"
CAJ69821.1	1.89E-171	K	AntA/AntB antirepressor	ko:K07741	-	-	-	-	ko00000	-	"ANT,AntA,Bro-N,P22_AR_N"
CAJ69822.2	3.47E-90	L	Endodeoxyribonuclease RusA	-	-	-	-	-	-	-	RusA
CAJ69823.2	3.92E-11	-	-	-	-	-	-	-	-	-	-
CAJ69824.1	4.85E-75	J	translation release factor activity	ko:K02839	-	-	-	-	"ko00000,ko03012"	-	"AAA,AAA_2,ClpB_D2-small,OMP_b-brl,PCRF"
CAJ69825.1	1.72E-73	-	-	-	-	-	-	-	-	-	-
CAJ69826.1	3.29E-91	FJ	Protein conserved in bacteria	-	-	-	-	-	-	-	DUF1653
CAJ69827.1	8.45E-238	S	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	NA37
CAJ69832.1	1.77E-98	L	"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism"	ko:K03111	"ko03030,ko03430,ko03440,map03030,map03430,map03440"	-	-	-	"ko00000,ko00001,ko03029,ko03032,ko03400"	-	SSB
CAJ69833.1	3.85E-31	-	-	-	-	-	-	-	-	-	-
CAJ69834.1	2.10E-219	-	-	-	-	-	-	-	-	-	"DnaB_2,Phage_rep_org_N"
CAJ69835.2	8.83E-134	S	ERF superfamily	-	-	-	-	-	-	-	ERF
CAJ69836.1	4.70E-109	S	Siphovirus Gp157	-	-	-	-	-	-	-	Sipho_Gp157
CAJ69837.1	1.13E-40	-	-	-	-	-	-	-	-	-	-
CAJ69838.2	6.38E-25	-	-	-	-	-	-	-	-	-	-
CAJ69840.1	7.14E-185	K	ORF6N domain	-	-	-	-	-	-	-	ORF6N
CAJ69841.1	1.23E-43	K	Protein of unknown function (DUF739)	-	-	-	-	-	-	-	DUF739
CAJ69842.1	5.30E-104	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	HTH_3
CAJ69843.1	2.22E-108	E	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	Peptidase_M78
CAJ69844.1	2.03E-281	L	"Resolvase, N terminal domain"	-	-	-	-	-	-	-	"Recombinase,Resolvase,Zn_ribbon_recom"
CAJ69845.1	2.29E-251	P	solute-binding protein	ko:K02012	"ko02010,map02010"	M00190	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.10	SBP_bac_6
CAJ69846.1	7.07E-146	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	ko:K02120	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	ATP-synt_D
CAJ69847.1	0	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit	ko:K02118	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	"ATP-synt_ab,ATP-synt_ab_N"
CAJ69848.1	0	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit	ko:K02117	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002,ko01000"	"3.A.2.2,3.A.2.3"	"ATP-synt_ab,ATP-synt_ab_N,ATP-synt_ab_Xtn"
CAJ69849.2	8.20E-68	C	"ATP synthase, subunit F"	ko:K02122	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	ATP-synt_F
CAJ69850.1	4.47E-230	C	"Psort location Cytoplasmic, score"	ko:K02119	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	vATP-synt_AC39
CAJ69851.1	7.36E-85	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	ko:K02121	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	vATP-synt_E
CAJ69852.1	2.00E-98	C	ATP synthase subunit C	ko:K02124	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	ATP-synt_C
CAJ69853.1	0	C	Belongs to the V-ATPase 116 kDa subunit family	ko:K02123	"ko00190,ko01100,map00190,map01100"	M00159	-	-	"ko00000,ko00001,ko00002"	"3.A.2.2,3.A.2.3"	V_ATPase_I
CAJ69855.1	3.61E-60	-	-	-	-	-	-	-	-	-	-
CAJ69856.1	0	S	ErfK YbiS YcfS YnhG	-	-	-	-	-	-	-	"PG_binding_4,YkuD"
CAJ69857.1	4.15E-153	S	B3/4 domain	-	-	-	-	-	-	-	B3_4
CAJ69858.1	0	T	GGDEF domain	-	-	-	-	-	-	-	"EAL,GGDEF,dCache_1"
CAJ69859.1	0	C	belongs to the iron- containing alcohol dehydrogenase family	ko:K04072	"ko00010,ko00071,ko00350,ko00620,ko00625,ko00626,ko00650,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00620,map00625,map00626,map00650,map01100,map01110,map01120,map01130,map01220"	-	"R00228,R00623,R00754,R01172,R04880,R05233,R05234,R06917,R06927"	"RC00004,RC00050,RC00088,RC00099,RC00116,RC00184,RC00649,RC01195"	"ko00000,ko00001,ko01000"	-	"Aldedh,Fe-ADH"
CAJ69861.1	1.72E-140	H	"Dipicolinic acid synthetase, b subunit"	ko:K06411	-	-	-	-	ko00000	-	Flavoprotein
CAJ69862.1	3.19E-206	H	"Dipicolinic acid synthetase, A subunit"	ko:K06410	-	-	-	-	ko00000	-	"2-Hacid_dh_C,DpaA_N,Shikimate_DH"
CAJ69863.1	0	IQ	Acyl-CoA synthetase (AMP-forming) AMP-acid ligase II	ko:K01897	"ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	M00086	R01280	"RC00004,RC00014"	"ko00000,ko00001,ko00002,ko01000,ko01004,ko04147"	4.C.1.1	"AMP-binding,AMP-binding_C"
CAJ69864.1	8.25E-271	I	Belongs to the thiolase family	ko:K00626	"ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020"	"M00088,M00095,M00373,M00374,M00375"	"R00238,R01177"	"RC00004,RC00326"	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	"Thiolase_C,Thiolase_N"
CAJ69865.1	9.66E-117	S	BioY family	ko:K03523	"ko02010,map02010"	"M00581,M00582"	-	-	"ko00000,ko00001,ko00002,ko02000"	"2.A.88.1,2.A.88.2"	BioY
CAJ69866.1	1.57E-190	-	-	-	-	-	-	-	-	-	-
CAJ69868.1	4.13E-99	K	Acetyltransferase (GNAT) domain	ko:K03826	-	-	-	-	"ko00000,ko01000"	-	Acetyltransf_10
CAJ69869.2	1.39E-58	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette"	ko:K09951	-	-	-	-	"ko00000,ko02048"	-	CRISPR_Cas2
CAJ69870.1	4.51E-235	L	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette"	ko:K15342	-	-	-	-	"ko00000,ko02048,ko03400"	-	Cas_Cas1
CAJ69871.1	3.58E-119	L	Domain of unknown function DUF83	ko:K07464	-	-	-	-	"ko00000,ko01000,ko02048"	-	Cas_Cas4
CAJ69872.1	0	L	"CRISPR-associated helicase, Cas3"	ko:K07012	-	-	-	-	"ko00000,ko01000,ko02048"	-	"DEAD,HD,Helicase_C"
CAJ69873.1	1.90E-169	L	CRISPR-associated protein (Cas_Cas5)	ko:K19090	-	-	-	-	"ko00000,ko02048"	-	Cas_Cas5d
CAJ69874.1	1.17E-219	L	CRISPR-associated negative auto-regulator DevR/Csa2	ko:K19075	-	-	-	-	"ko00000,ko02048"	-	DevR
CAJ69875.1	0	S	CRISPR-associated cxxc_cxxc protein Cst1	ko:K19088	-	-	-	-	"ko00000,ko02048"	-	Cas_CXXC_CXXC
CAJ69876.1	9.41E-176	L	CRISPR-associated protein Cas6	ko:K19091	-	-	-	-	"ko00000,ko01000,ko02048"	-	Cas_Cas6
CAJ69877.1	2.29E-222	K	HTH domain	ko:K13572	-	-	-	-	"ko00000,ko03051"	-	"HTH_11,WYL"
CAJ69878.1	0	V	FtsX-like permease family	"ko:K02004,ko:K11636"	"ko02020,map02020"	"M00258,M00315"	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1,3.A.1.134.6"	FtsX
CAJ69879.1	2.68E-172	V	ATPases associated with a variety of cellular activities	ko:K11635	"ko02020,map02020"	M00315	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.134.6	ABC_tran
CAJ69880.1	4.24E-187	V	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin	ko:K06153	"ko00550,map00550"	-	R05627	RC00002	"ko00000,ko00001,ko01000,ko01011"	-	BacA
CAJ69881.1	3.72E-238	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	HATPase_c
CAJ69882.1	2.06E-167	T	"Transcriptional regulatory protein, C terminal"	-	-	-	-	-	-	-	"Response_reg,Trans_reg_C"
CAJ69883.1	2.08E-216	P	NMT1-like family	ko:K15553	"ko00920,ko02010,map00920,map02010"	M00436	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.17.2	NMT1
CAJ69884.1	4.20E-207	P	ABC-type nitrate sulfonate bicarbonate transport system ATPase component	ko:K15555	"ko00920,ko02010,map00920,map02010"	M00436	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	3.A.1.17.2	ABC_tran
CAJ69885.1	3.01E-159	P	ABC-type nitrate sulfonate bicarbonate transport system permease component	ko:K15554	"ko00920,ko02010,map00920,map02010"	M00436	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.17.2	BPD_transp_1
CAJ69886.1	1.46E-152	-	-	-	-	-	-	-	-	-	-
CAJ69887.1	1.85E-150	S	GyrI-like small molecule binding domain	-	-	-	-	-	-	-	GyrI-like
CAJ69888.1	9.81E-233	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	ko:K00526	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	M00053	"R02017,R02018,R02019,R02024"	RC00613	"ko00000,ko00001,ko00002,ko01000,ko03400"	-	Ribonuc_red_sm
CAJ69889.1	0	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	ko:K00525	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	M00053	"R02017,R02018,R02019,R02024"	RC00613	"ko00000,ko00001,ko00002,ko01000,ko03400"	-	"ATP-cone,RNR_N,Ribonuc_red_lgC,Ribonuc_red_lgN"
CAJ69890.2	1.47E-101	S	Pentapeptide repeat protein	-	-	-	-	-	-	-	Pentapeptide
CAJ69891.1	4.47E-276	HP	Abc transporter	ko:K02013	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	3.A.1.14	"ABC_tran,zf-like"
CAJ69892.1	6.17E-220	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	ko:K02015	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.14	FecCD
CAJ69893.1	1.32E-272	P	"ABC-type Fe3 -hydroxamate transport system, periplasmic component"	ko:K02016	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.14	Peripla_BP_2
CAJ69894.1	1.95E-219	EM	Dihydrodipicolinate synthetase family	ko:K22397	"ko00040,map00040"	-	R01782	"RC00307,RC00572"	"ko00000,ko00001,ko01000"	-	DHDPS
CAJ69895.1	1.43E-218	Q	fumarylacetoacetate (FAA) hydrolase	-	-	-	-	-	-	-	FAA_hydrolase
CAJ69896.1	2.60E-278	G	D-galactarate dehydratase Altronate hydrolase	ko:K16850	"ko00040,ko01100,map00040,map01100"	M00631	R01540	RC00543	"ko00000,ko00001,ko00002,ko01000"	-	GD_AH_C
CAJ69897.1	6.63E-63	G	PFAM SAF domain	"ko:K16845,ko:K16849"	"ko00040,ko00270,ko01100,map00040,map00270,map01100"	M00631	"R01540,R07633"	"RC00543,RC01785"	"ko00000,ko00001,ko00002,ko01000"	-	SAF
CAJ69898.1	1.36E-219	P	2-keto-3-deoxygluconate	ko:K02526	-	-	-	-	"ko00000,ko02000"	2.A.10.1	KdgT
CAJ69899.1	3.69E-184	K	Bacterial transcriptional regulator	-	-	-	-	-	-	-	"HTH_IclR,IclR"
CAJ69900.1	5.40E-273	C	alcohol dehydrogenase	ko:K13954	"ko00010,ko00071,ko00350,ko00625,ko00626,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map01100,map01110,map01120,map01130,map01220"	-	"R00623,R00754,R04880,R05233,R05234,R06917,R06927"	"RC00050,RC00088,RC00099,RC00116,RC00649"	"ko00000,ko00001,ko01000"	-	Fe-ADH
CAJ69901.2	7.58E-210	T	"L,D-transpeptidase catalytic domain"	-	-	-	-	-	-	-	"CW_binding_1,PG_binding_1,SH3_3,YkuD"
CAJ69903.1	0	C	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	"ko:K00382,ko:K00520"	"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200"	"M00009,M00011,M00036,M00307,M00532"	"R00209,R01221,R01698,R03815,R07618,R08549"	"RC00004,RC00022,RC00583,RC02742,RC02833,RC02834"	"br01601,ko00000,ko00001,ko00002,ko01000,ko04147"	-	"Pyr_redox_2,Pyr_redox_dim"
CAJ69904.1	2.95E-258	CO	Cytochrome C biogenesis protein transmembrane region	ko:K06196	-	-	-	-	"ko00000,ko02000"	5.A.1.2	"AhpC-TSA,DsbD,Redoxin"
CAJ69905.1	7.64E-78	K	HxlR-like helix-turn-helix	-	-	-	-	-	-	-	HxlR
CAJ69906.1	0	G	Glycosyl hydrolases family 38 C-terminal domain	ko:K15524	-	-	-	-	"ko00000,ko01000"	-	"Alpha-mann_mid,Glyco_hydro_38,Glyco_hydro_38C"
CAJ69907.1	1.61E-253	U	"Phosphotransferase system, EIIC"	ko:K02770	"ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060"	M00273	R03232	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko02000"	4.A.2.1	PTS_EIIC
CAJ69908.1	5.98E-66	G	"PTS system, Lactose/Cellobiose specific IIB subunit"	ko:K02769	"ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060"	M00273	R03232	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.2.1	PTS_IIB
CAJ69909.1	1.98E-100	G	"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"	ko:K02768	"ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060"	M00273	R03232	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.2.1	PTS_EIIA_2
CAJ69910.1	0	GKT	"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"	ko:K02538	-	-	-	-	"ko00000,ko03000"	-	"Mga,PRD,PTS_EIIA_2,PTS_IIB"
CAJ69911.1	9.55E-184	U	Sugar transport protein	ko:K05340	-	-	-	-	"ko00000,ko02000"	2.A.7.5	Sugar_transport
CAJ69912.1	4.16E-112	S	TIGRFAM C_GCAxxG_C_C family protein	-	-	-	-	-	-	-	C_GCAxxG_C_C
CAJ69913.1	5.53E-196	P	Voltage-dependent anion channel	ko:K11041	"ko05150,map05150"	-	-	-	"ko00000,ko00001,ko02042"	2.A.16	SLAC1
CAJ69918.1	1.58E-168	C	"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)"	-	-	-	-	-	-	-	Fer4_16
CAJ69919.1	2.79E-174	K	protein conserved in bacteria (DUF2087)	-	-	-	-	-	-	-	"DUF2087,GerE"
CAJ69920.1	1.56E-103	G	"PTS system, glucose subfamily, IIA"	ko:K02777	"ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111"	"M00265,M00266,M00268,M00270,M00272,M00303,M00806"	"R02738,R02780,R04111,R04394,R05132,R08559"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.1.1.1	PTS_EIIA_1
CAJ69921.1	8.49E-138	M	sugar phosphate isomerase involved in capsule formation	ko:K06041	"ko00540,ko01100,map00540,map01100"	M00063	R01530	RC00541	"ko00000,ko00001,ko00002,ko01000,ko01005"	-	SIS
CAJ69922.1	3.14E-299	E	"Aminotransferase, class I"	ko:K14155	"ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230"	-	"R00782,R01286,R02408,R04941"	"RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303"	"ko00000,ko00001,ko01000,ko01007"	-	Aminotran_1_2
CAJ69923.1	0	G	pts system	"ko:K02790,ko:K02791"	"ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060"	M00266	"R02738,R04111"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.1.1.3	"PTS_EIIB,PTS_EIIC"
CAJ69924.1	1.63E-197	K	CAT RNA binding domain	ko:K03488	-	-	-	-	"ko00000,ko03000"	-	"CAT_RBD,PRD"
CAJ69925.1	1.33e-313	E	Beta-eliminating lyase	-	-	-	-	-	-	-	Aminotran_5
CAJ69926.1	1.26E-71	O	Belongs to the thioredoxin family	ko:K03671	"ko04621,ko05418,map04621,map05418"	-	-	-	"ko00000,ko00001,ko03110"	-	Thioredoxin
CAJ69927.1	1.81E-171	K	"transcriptional regulator, TrmB"	-	-	-	-	-	-	-	"Regulator_TrmB,TrmB"
CAJ69928.1	2.77E-217	S	"Phenazine biosynthesis protein, PhzF family"	-	-	-	-	-	-	-	PhzC-PhzF
CAJ69929.1	0	E	POT family	ko:K03305	-	-	-	-	ko00000	2.A.17	PTR2
CAJ69930.1	1.12E-114	K	CarD-like/TRCF domain	ko:K07736	-	-	-	-	"ko00000,ko03000"	-	CarD_CdnL_TRCF
CAJ69931.1	0	S	Putative metallopeptidase domain	-	-	-	-	-	-	-	"DUF2201,DUF2201_N"
CAJ69932.1	7.36E-273	S	AAA domain (dynein-related subfamily)	-	-	-	-	-	-	-	"AAA,AAA_5"
CAJ69933.1	2.78E-47	-	-	-	-	-	-	-	-	-	-
CAJ69934.1	1.27E-222	I	Releases the N-terminal proline from various substrates	ko:K01259	"ko00330,map00330"	-	R00135	-	"ko00000,ko00001,ko01000,ko01002"	-	Abhydrolase_1
CAJ69935.1	3.80E-226	S	Putative aromatic acid exporter C-terminal domain	-	-	-	-	-	-	-	"ArAE_1,ArAE_1_C"
CAJ69936.1	3.55E-257	D	"protein involved in cytokinesis, contains TGc (transglutaminase protease-like) domain"	-	-	-	-	-	-	-	"CW_binding_1,Transglut_core"
CAJ69937.1	4.10E-189	K	transcriptional regulator RpiR family	-	-	-	-	-	-	-	"HTH_6,SIS"
CAJ69938.1	7.39E-224	G	BadF/BadG/BcrA/BcrD ATPase family	-	-	-	-	-	-	-	BcrAD_BadFG
CAJ69939.1	5.50E-209	G	"Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6- phosphate and D-lactate"	ko:K07106	"ko00520,ko01100,map00520,map01100"	-	R08555	"RC00397,RC00746"	"ko00000,ko00001,ko01000"	-	"SIS,SIS_2"
CAJ69940.1	4.24E-271	S	PFAM Bacterial protein of	ko:K09963	-	-	-	-	ko00000	-	DUF871
CAJ69941.1	5.03E-296	G	"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane"	ko:K02761	"ko00500,ko02060,map00500,map02060"	M00275	"R11170,R11172"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko02000"	4.A.3.2	PTS_EIIC
CAJ69942.1	1.55E-66	G	cellobiose-specific IIB	ko:K02760	"ko00500,ko02060,map00500,map02060"	M00275	"R11170,R11172"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.3.2	PTS_IIB
CAJ69943.1	3.40E-61	-	-	-	-	-	-	-	-	-	-
CAJ69944.2	8.72E-280	O	"Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling"	ko:K09001	-	-	-	-	"ko00000,ko01000"	-	AnmK
CAJ69945.1	1.45E-233	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	HATPase_c
CAJ69946.1	1.34E-161	KT	"Transcriptional regulatory protein, C terminal"	-	-	-	-	-	-	-	"Response_reg,Trans_reg_C"
CAJ69947.1	0	V	"Psort location CytoplasmicMembrane, score"	ko:K02004	-	M00258	-	-	"ko00000,ko00002,ko02000"	3.A.1	FtsX
